sku_id,product_id,product_name,status,gmv,sku_orders,units_sold
SKU-00001,PRD-0001,SYN_PRODUCT_001,Active,0.0,1048,1110
SKU-00002,PRD-0002,SYN_PRODUCT_002,Active,0.0,1048,1110
SKU-00003,PRD-0003,SYN_PRODUCT_003,Active,0.0,3,3
SKU-00004,PRD-0004,SYN_PRODUCT_004,Active,0.0,64,64
SKU-00005,PRD-0005,SYN_PRODUCT_005,Active,0.0,164,166
SKU-00006,PRD-0006,SYN_PRODUCT_006,Active,0.0,64,64
SKU-00007,PRD-0007,SYN_PRODUCT_007,Active,0.0,3,3
SKU-00008,PRD-0008,SYN_PRODUCT_008,Active,0.0,1048,1094
SKU-00009,PRD-0009,SYN_PRODUCT_009,Active,0.0,56,56
SKU-00010,PRD-0010,SYN_PRODUCT_010,Active,0.0,309,315
SKU-00011,PRD-0011,SYN_PRODUCT_011,Active,0.0,147,149
SKU-00012,PRD-0001,SYN_PRODUCT_001,Active,0.0,211,214
SKU-00013,PRD-0002,SYN_PRODUCT_002,Active,0.0,1048,1110
SKU-00014,PRD-0003,SYN_PRODUCT_003,Active,0.0,3,3
SKU-00015,PRD-0004,SYN_PRODUCT_004,Active,0.0,3,3
