order_id,order_status,sku_id,product_id,product_name,quantity,unit_original_price,subtotal_before_discount,total_discount,subtotal_after_discount,order_amount,refund_amount,created_at,payment_method,fulfillment_type,shipping_provider,order_channel,creator_token,buyer_token,region_code,package_token
ORD-0004055,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,799.0,799.0,199.55,599.45,1018.08,0.0,2026-03-19 13:00:00,PAYMENT_METHOD_02,SELLER,CARRIER_02,VIDEO,,BUY-0003024,REGION_05,PKG-0000001
ORD-0002107,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,799.0,799.0,92.87,706.13,712.09,0.0,2026-08-13 23:00:00,PAYMENT_METHOD_03,PLATFORM,CARRIER_03,AFFILIATE,CRT-00088,BUY-0005182,REGION_08,PKG-0000002
ORD-0003907,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,209.0,209.0,5.4,203.6,81.4,0.0,2026-06-02 19:00:00,PAYMENT_METHOD_03,PLATFORM,CARRIER_03,AFFILIATE,CRT-00070,BUY-0004124,REGION_07,PKG-0000003
ORD-0001514,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,305.78,305.78,20.35,285.43,210.08,0.0,2026-02-05 11:00:00,PAYMENT_METHOD_02,PLATFORM,CARRIER_02,LIVE,CRT-00041,BUY-0002412,REGION_04,PKG-0000004
ORD-0002476,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,406.66,406.66,77.39,329.27,276.34,0.0,2025-09-25 02:00:00,PAYMENT_METHOD_01,PLATFORM,CARRIER_01,SHOP,,BUY-0000461,REGION_01,PKG-0000005
ORD-0004201,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,305.25,305.25,10.45,294.8,209.72,0.0,2025-09-30 02:00:00,PAYMENT_METHOD_01,PLATFORM,CARRIER_01,SHOP,CRT-00010,BUY-0000537,REGION_01,PKG-0000006
ORD-0004946,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,209.0,209.0,12.95,196.05,87.01,0.0,2026-06-30 20:00:00,PAYMENT_METHOD_03,PLATFORM,CARRIER_03,AFFILIATE,CRT-00077,BUY-0004533,REGION_07,PKG-0000007
ORD-0002502,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,718.5,718.5,9.15,709.35,477.61,114.98,2025-11-27 06:00:00,PAYMENT_METHOD_01,PLATFORM,CARRIER_01,LIVE,CRT-00024,BUY-0001382,REGION_03,PKG-0000008
ORD-0004781,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,294.45,294.45,41.78,252.67,202.58,0.0,2026-06-17 20:00:00,PAYMENT_METHOD_03,PLATFORM,CARRIER_03,AFFILIATE,CRT-00074,BUY-0004341,REGION_07,PKG-0000009
ORD-0004347,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,493.51,493.51,6.12,487.39,332.87,79.79,2026-05-21 18:00:00,PAYMENT_METHOD_03,PLATFORM,CARRIER_03,AFFILIATE,CRT-00067,BUY-0003949,REGION_07,PKG-0000010
ORD-0005124,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,393.84,393.84,40.73,353.11,267.96,0.0,2025-08-29 00:00:00,PAYMENT_METHOD_01,PLATFORM,CARRIER_01,SHOP,CRT-00002,BUY-0000061,REGION_01,PKG-0000011
ORD-0004918,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,439.2,439.2,30.35,408.85,297.58,0.0,2025-10-12 03:00:00,PAYMENT_METHOD_01,PLATFORM,CARRIER_01,SHOP,CRT-00013,BUY-0000711,REGION_02,PKG-0000012
ORD-0003178,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,799.0,799.0,117.31,681.69,1018.08,0.0,2026-02-03 10:00:00,PAYMENT_METHOD_02,PLATFORM,CARRIER_02,LIVE,CRT-00041,BUY-0002378,REGION_04,PKG-0000013
ORD-0003896,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,209.0,209.0,30.81,178.19,91.43,0.0,2025-11-20 05:00:00,PAYMENT_METHOD_01,PLATFORM,CARRIER_01,SHOP,CRT-00022,BUY-0001286,REGION_02,PKG-0000014
ORD-0000396,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,209.0,209.0,37.26,171.74,81.4,0.0,2026-06-19 20:00:00,PAYMENT_METHOD_03,PLATFORM,CARRIER_03,AFFILIATE,,BUY-0004371,REGION_07,PKG-0000015
ORD-0001196,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,470.45,470.45,46.43,424.02,317.9,0.0,2025-09-12 01:00:00,PAYMENT_METHOD_01,PLATFORM,CARRIER_01,SHOP,CRT-00005,BUY-0000265,REGION_01,PKG-0000016
ORD-0004768,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,592.52,592.52,63.7,528.82,396.83,0.0,2026-01-05 09:00:00,PAYMENT_METHOD_02,PLATFORM,CARRIER_02,LIVE,CRT-00034,BUY-0001952,REGION_04,PKG-0000017
ORD-0004979,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,443.98,443.98,71.9,372.08,300.68,0.0,2026-03-13 13:00:00,PAYMENT_METHOD_02,PLATFORM,CARRIER_02,VIDEO,,BUY-0002944,REGION_05,PKG-0000018
ORD-0000719,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,209.0,209.0,29.24,179.76,126.37,0.0,2026-04-04 15:00:00,PAYMENT_METHOD_02,PLATFORM,CARRIER_02,VIDEO,CRT-00056,BUY-0003260,REGION_06,PKG-0000019
ORD-0003807,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,427.5,427.5,85.92,341.58,289.94,0.0,2025-09-11 01:00:00,PAYMENT_METHOD_01,SELLER,CARRIER_01,SHOP,,BUY-0000258,REGION_01,PKG-0000020
ORD-0004657,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,506.09,506.09,51.47,454.62,341.02,0.0,2025-10-26 04:00:00,PAYMENT_METHOD_01,PLATFORM,CARRIER_01,SHOP,CRT-00016,BUY-0000915,REGION_02,PKG-0000021
ORD-0000544,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,706.95,706.95,168.01,538.94,470.23,0.0,2026-01-18 09:00:00,PAYMENT_METHOD_02,SELLER,CARRIER_02,LIVE,,BUY-0002146,REGION_04,PKG-0000022
ORD-0001332,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,451.09,451.09,61.11,389.98,305.32,0.0,2026-03-03 12:00:00,PAYMENT_METHOD_02,PLATFORM,CARRIER_02,VIDEO,CRT-00048,BUY-0002786,REGION_05,PKG-0000023
ORD-0002730,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,696.39,696.39,63.05,633.34,463.48,0.0,2025-11-30 06:00:00,PAYMENT_METHOD_01,PLATFORM,CARRIER_01,LIVE,CRT-00025,BUY-0001434,REGION_03,PKG-0000024
ORD-0003875,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,379.63,379.63,12.13,367.5,258.66,0.0,2025-09-11 01:00:00,PAYMENT_METHOD_01,PLATFORM,CARRIER_01,SHOP,CRT-00005,BUY-0000255,REGION_01,PKG-0000025
ORD-0002518,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,465.17,465.17,31.45,433.72,314.47,0.0,2026-03-20 14:00:00,PAYMENT_METHOD_02,PLATFORM,CARRIER_02,VIDEO,CRT-00052,BUY-0003047,REGION_05,PKG-0000026
ORD-0003386,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,532.09,532.09,21.53,510.56,357.85,0.0,2026-05-20 18:00:00,PAYMENT_METHOD_03,PLATFORM,CARRIER_03,AFFILIATE,CRT-00067,BUY-0003937,REGION_07,PKG-0000027
ORD-0000867,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,209.0,209.0,50.77,158.23,101.24,0.0,2026-03-21 14:00:00,PAYMENT_METHOD_02,SELLER,CARRIER_02,VIDEO,,BUY-0003059,REGION_05,PKG-0000028
ORD-0002406,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,221.14,221.14,17.93,203.21,153.8,0.0,2026-02-26 12:00:00,PAYMENT_METHOD_02,PLATFORM,CARRIER_02,VIDEO,CRT-00047,BUY-0002724,REGION_05,PKG-0000029
ORD-0000271,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,672.97,672.97,15.67,657.3,448.49,123.12,2026-05-04 17:00:00,PAYMENT_METHOD_03,PLATFORM,CARRIER_03,VIDEO,CRT-00063,BUY-0003700,REGION_06,PKG-0000030
ORD-0000890,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,488.9,488.9,66.05,422.85,329.88,0.0,2026-02-17 11:00:00,PAYMENT_METHOD_02,PLATFORM,CARRIER_02,LIVE,CRT-00044,BUY-0002589,REGION_04,PKG-0000031
ORD-0000758,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,209.0,209.0,36.77,172.23,87.9,0.0,2026-01-11 09:00:00,PAYMENT_METHOD_02,PLATFORM,CARRIER_02,LIVE,,BUY-0002048,REGION_04,PKG-0000032
ORD-0002621,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,209.0,209.0,24.77,184.23,81.4,0.0,2025-11-18 05:00:00,PAYMENT_METHOD_01,PLATFORM,CARRIER_01,SHOP,CRT-00022,BUY-0001251,REGION_02,PKG-0000033
ORD-0001622,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,237.32,237.32,47.52,189.8,164.62,0.0,2026-01-24 10:00:00,PAYMENT_METHOD_02,SELLER,CARRIER_02,LIVE,,BUY-0002231,REGION_04,PKG-0000034
ORD-0004931,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,458.66,458.66,39.96,418.7,310.24,0.0,2026-04-02 14:00:00,PAYMENT_METHOD_02,PLATFORM,CARRIER_02,VIDEO,CRT-00055,BUY-0003224,REGION_05,PKG-0000035
ORD-0003140,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,294.14,294.14,47.61,246.53,202.38,0.0,2026-04-11 15:00:00,PAYMENT_METHOD_02,PLATFORM,CARRIER_02,VIDEO,,BUY-0003360,REGION_06,PKG-0000036
ORD-0002929,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,461.04,461.04,1.83,459.21,311.79,66.32,2026-05-05 17:00:00,PAYMENT_METHOD_03,PLATFORM,CARRIER_03,VIDEO,CRT-00064,BUY-0003718,REGION_06,PKG-0000037
ORD-0002051,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,586.14,586.14,51.15,534.99,392.72,0.0,2026-03-11 13:00:00,PAYMENT_METHOD_02,PLATFORM,CARRIER_02,VIDEO,CRT-00050,BUY-0002904,REGION_05,PKG-0000038
ORD-0002635,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,799.0,799.0,41.29,757.71,606.33,0.0,2025-12-11 07:00:00,PAYMENT_METHOD_01,PLATFORM,CARRIER_01,LIVE,CRT-00028,BUY-0001596,REGION_03,PKG-0000039
ORD-0000449,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,532.97,532.97,29.25,503.72,358.42,0.0,2026-06-05 19:00:00,PAYMENT_METHOD_03,PLATFORM,CARRIER_03,AFFILIATE,CRT-00071,BUY-0004170,REGION_07,PKG-0000040
ORD-0004857,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,799.0,799.0,198.68,600.32,692.06,0.0,2026-01-08 09:00:00,PAYMENT_METHOD_02,SELLER,CARRIER_02,LIVE,,BUY-0002001,REGION_04,PKG-0000041
ORD-0001469,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,382.19,382.19,83.85,298.34,260.34,0.0,2026-01-16 09:00:00,PAYMENT_METHOD_02,SELLER,CARRIER_02,LIVE,,BUY-0002110,REGION_04,PKG-0000042
ORD-0002699,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,229.95,229.95,52.52,177.43,159.7,0.0,2026-01-16 09:00:00,PAYMENT_METHOD_02,SELLER,CARRIER_02,LIVE,,BUY-0002118,REGION_04,PKG-0000043
ORD-0000030,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,245.39,245.39,48.02,197.37,170.0,0.0,2026-07-27 22:00:00,PAYMENT_METHOD_03,PLATFORM,CARRIER_03,AFFILIATE,,BUY-0004931,REGION_08,PKG-0000044
ORD-0000588,OTHER,SKU-00009,PRD-0009,SYN_PRODUCT_009,1,333.84,333.84,11.51,322.33,228.58,0.0,2026-07-16 22:00:00,PAYMENT_METHOD_03,PLATFORM,CARRIER_03,AFFILIATE,CRT-00081,BUY-0004763,REGION_08,PKG-0000045
